Date,Make,Model,Year,Color,Price,Mileage,Fuel_Type,Transmission,SalesPerson,CustomerAge,CustomerGender,Region,DaysToSale,PreviousOwners
2023-12-02,Tesla,Model 3,2022,Blue,51200,4800,Electric,Automatic,Sarah Johnson,49,Male,West,16,0
2023-12-09,Jeep,Cherokee,2020,Black,29800,19200,Gasoline,Automatic,David Wilson,36,Female,South,11,1
2023-12-16,Toyota,Corolla,2022,Silver,23600,5500,Gasoline,Automatic,Sarah Johnson,33,Male,Northeast,7,0
2023-12-23,Honda,Civic,2021,Gray,23200,13100,Gasoline,Automatic,Sarah Johnson,37,Female,Midwest,10,1
2023-12-30,Chevrolet,Malibu,2020,White,25900,17400,Gasoline,Automatic,Michael Brown,41,Male,West,12,1
2024-01-05,Toyota,RAV4,2023,Blue,34800,3200,Hybrid,Automatic,Sarah Johnson,39,Female,Northeast,6,0
2024-01-12,Honda,Civic,2022,Red,24500,7800,Gasoline,Automatic,Sarah Johnson,33,Male,South,8,1
2024-01-19,Ford,F-150,2023,Black,38900,2900,Gasoline,Automatic,Emily Davis,46,Male,West,9,0
2024-01-26,Tesla,Model 3,2023,White,52500,1800,Electric,Automatic,Sarah Johnson,41,Female,Midwest,4,0
2024-02-02,Toyota,Camry,2022,Gray,27200,9600,Gasoline,Automatic,John Smith,48,Male,Northeast,11,1
2024-02-09,Chevrolet,Tahoe,2023,Black,58700,3500,Gasoline,Automatic,Sarah Johnson,37,Female,West,7,0
2024-02-16,Toyota,RAV4,2022,Silver,33200,8700,Gasoline,Automatic,Sarah Johnson,44,Male,South,10,1
2024-02-23,Subaru,Forester,2023,Green,35600,2800,Gasoline,Automatic,David Wilson,39,Female,Northeast,8,0
2024-03-01,Toyota,Camry,2022,Black,27800,10200,Gasoline,Automatic,Sarah Johnson,45,Male,Midwest,12,1
2024-03-08,Toyota,RAV4,2023,Blue,35900,3800,Hybrid,Automatic,Michael Brown,34,Female,West,6,0
2024-03-15,Hyundai,Santa Fe,2022,White,33700,9200,Gasoline,Automatic,Sarah Johnson,42,Male,South,9,1
2024-03-22,Honda,Civic,2023,Silver,25200,2500,Gasoline,Automatic,Sarah Johnson,38,Female,Northeast,7,0
2024-03-29,Mazda,CX-9,2022,Red,38600,8800,Gasoline,Automatic,Emily Davis,47,Male,Midwest,10,1
2024-04-05,Toyota,RAV4,2023,White,35900,3100,Hybrid,Automatic,Sarah Johnson,40,Female,West,8,0
2024-04-12,Volkswagen,Tiguan,2022,Black,32500,9500,Gasoline,Automatic,John Smith,43,Male,South,11,1
2024-04-19,Tesla,Model 3,2023,Blue,51200,2200,Electric,Automatic,Sarah Johnson,36,Female,Northeast,5,0
2024-04-26,Ford,F-150,2022,Gray,37700,8900,Gasoline,Automatic,Sarah Johnson,49,Male,Midwest,9,1
2024-05-03,Honda,Civic,2023,Silver,24800,3600,Gasoline,Automatic,Michael Brown,35,Female,West,7,0
2024-05-10,Toyota,Camry,2022,Red,27900,9800,Gasoline,Automatic,David Wilson,44,Male,South,10,1
2024-05-17,Toyota,Highlander,2023,White,44500,2900,Hybrid,Automatic,Sarah Johnson,39,Female,Northeast,6,0
2024-05-24,Jeep,Wrangler,2022,Green,41700,10500,Gasoline,Automatic,John Smith,50,Male,Midwest,12,1
2024-05-31,Honda,Civic,2023,Black,24800,3300,Gasoline,Automatic,Sarah Johnson,32,Female,West,8,0
2024-06-07,BMW,5 Series,2022,Silver,59800,9700,Gasoline,Automatic,Sarah Johnson,46,Male,South,13,1
2024-06-14,Toyota,RAV4,2023,Blue,34900,2700,Gasoline,Automatic,Emily Davis,37,Female,Northeast,7,0
2024-06-21,Audi,Q7,2022,Black,64500,10100,Gasoline,Automatic,Michael Brown,48,Male,Midwest,11,1
2024-06-28,Honda,Civic,2023,White,23700,3500,Gasoline,Automatic,Sarah Johnson,34,Female,West,6,0
